nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"Dinas Pekerjaan Umum dan Penataan Ruang","PRANATA KEWILAYAHAN",,1
"Kecamatan Kademangan","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Perindustrian dan Perdagangan","Pengawas Kemetrologian Ahli Pertama",,1
"RSUD Ngudi Waluyo Wlingi","DOKTER SPESIALIS ORTHOPEDI DAN TRAUMATOLOGI",,1
"Kecamatan Panggungrejo","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Nglegok","Kepala Seksi Pelayanan Publik",,1
"SEKRETARIAT DAERAH","Analis Kebijakan Ahli Muda",,1
"Kecamatan Talun","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Sub Bidang Akuntansi Pelaporan",,1
"Dinas Peternakan dan Perikanan","Kepala UPT RUMAH PEMOTONGAN HEWAN",,1
"Dinas Kepemudaan Dan Olah Raga","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Bidang Anggaran",,1
Inspektorat,"Inspektur Pembantu II",,1
"Kecamatan Selorejo",Camat,,1
"Kelurahan Kembangarum","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Badan Pendapatan Daerah","PENGADMINISTRASI UMUM",,1
"Dinas Ketahanan Pangan dan Pertanian","Analis Keuangan Pusat dan Daerah Ahli Muda",,1
"Badan Pendapatan Daerah","Kepala Badan Pendapatan Daerah",,1
"Kelurahan Kembangarum",Sekretaris,,1
"Dinas Perhubungan","Kepala Bidang Perlengkapan Jalan",,1
"Kecamatan Wates",Sekretaris,,1
"Dinas Koperasi, Usaha Kecil dan Menengah","KEPALA BIDANG PEMBERDAYAAN USAHA MIKRO",,1
"RSUD Srengat","Direktur RSUD Srengat",,1
"RSUD Srengat","Kepala Seksi Pelayanan Penunjang Non Klinik",,1
"Pelaksana Badan Penanggulangan Bencana Daerah","Kepala Bidang Kedaruratan dan Logistik",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Perencana Ahli Muda",,1
"Kelurahan Bajang","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Kepala Dinas Komunikasi, Informatika, Statistik, Dan Persandian",,1
"Dinas Lingkungan Hidup","Kepala Bidang Peningkatan Kapasitas Lingkungan Hidup",,1
"Dinas Kesehatan","Nutrisionis Ahli Muda",,1
"Kecamatan Kademangan","PENELAAH TEKNIS KEBIJAKAN",,1
"Dinas Pemberdayaan Masyarakat dan Desa","Kepala Bidang Penataan Dan Kerja Sama Desa",,1
"Kecamatan Ponggok","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kecamatan Gandusari","Kepala Seksi Kesejahteraan Sosial",,1
"Badan Pendapatan Daerah","Analis Keuangan Pusat dan Daerah Ahli Muda",,1
"Dinas Kepemudaan Dan Olah Raga",Sekretaris,,1
"SEKRETARIAT DAERAH","Staf Ahli Bidang Hukum, Pemerintahan dan Politik",,1
"Dinas Kebudayaan Dan Pariwisata","Kepala Bidang Pemasaran Pariwisata",,1
"Kecamatan Kademangan","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Selorejo",Sekretaris,,1
"Dinas Kesehatan","Kepala Bidang Sumber Daya Kesehatan",,1
"Dinas Peternakan dan Perikanan","Pengelola Kesehatan Ikan Ahli Muda",,1
"RSUD Ngudi Waluyo Wlingi","Fisioterapis Mahir",,1
"Dinas Kesehatan","Sanitarian Mahir",,1
"Dinas Pendidikan","KEPALA BIDANG PENGELOLAAN PENDIDIKAN SEKOLAH MENENGAH PERTAMA",,1
"Dinas Perindustrian dan Perdagangan","Perencana Ahli Muda",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Perhubungan","Kepala Seksi Pemeliharaan Perlengkapan Jalan",,1
,"PENGADMINISTRASI PERENCANAAN PROGRAM",,1
"RSUD Srengat","Kepala Seksi Pelayanan Keperawatan",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","KEPALA BIDANG PENGEMBANGAN KAWASAN PERMUKIMAN",,1
"Kecamatan Ponggok",Sekretaris,,1
"Dinas Ketahanan Pangan dan Pertanian","Analis Sumber Daya Manusia Aparatur Ahli Muda",,1
"Dinas Kependudukan dan Pencatatan Sipil","Analis Kebijakan Ahli Muda",,1
"Kecamatan Udanawu",Camat,,1
"Kecamatan Bakung","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Sekretariat DPRD","Kepala Bagian Persidangan dan Perundang-undangan",,1
"Kecamatan Gandusari","Kepala Seksi Pemerintahan",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Kepala Bidang Informasi dan Komunikasi Publik",,1
"Kelurahan Srengat","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","KEPALA BIDANG PENGEMBANGAN USAHA MIKRO",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian",Sekretaris,,1
"Kecamatan Udanawu",Sekretaris,,1
"Kecamatan Selopuro","Kepala Seksi Pemberdayaan Masyarakat",,1
"Dinas Perindustrian dan Perdagangan","Kepala Bidang Sarana Perdagangan",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Kepala Bidang Pertanahan",,1
"Kecamatan Ponggok","Kepala Seksi Pelayanan Publik",,1
"Dinas Tenaga Kerja","Kepala Bidang Hubungan Industrial Syarat Kerja",,1
"Dinas Kebudayaan Dan Pariwisata","JURU PELIHARA CAGAR BUDAYA",,1
"Kecamatan Selopuro","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kecamatan Kademangan",Camat,,1
"Kelurahan Bence","Kepala Seksi Pelayanan Publik",,1
"Badan Pendapatan Daerah","KEPALA BIDANG PENGENDALIAN DAN PENGAWASAN PAJAK DAERAH DAN RETRIBUSI DAERAH",,1
"Kecamatan Nglegok",Sekretaris,,1
"Badan Pendapatan Daerah","Kepala SUB BIDANG PENDATAAN DAN PENDAFTARAN OBYEK PAJAK DAERAH",,1
"Kecamatan Ponggok","Kepala Seksi Pemerintahan",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","KEPALA BIDANG PRASARANA SARANA DAN FASILITAS UMUM",,1
"Kecamatan Wonodadi","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Gandusari",Camat,,1
"Dinas Ketahanan Pangan dan Pertanian",Sekretaris,,1
"Kecamatan Kanigoro",Camat,,1
"PEMERINTAH KABUPATEN BLITAR -","Perawat Penyelia",,1
"Kelurahan Talun","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","Kepala Dinas Koperasi, Usaha Kecil dan Menengah",,1
"Kelurahan Talun",Sekretaris,,1
"SEKRETARIAT DAERAH","Asisten Perekonomian  Pembangunan",,1
,"Pengawas Sekolah Ahli Utama",,1
"Dinas Sosial","Kepala Bidang Pemberdayaan Sosial",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala SEKSI PEMADAMAN, PENYELAMATAN, DAN SARANA PRASARANA",,1
"Kecamatan Kanigoro","Kepala Seksi Kesejahteraan Sosial",,1
"Kelurahan Srengat","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Seksi Bina Potensi Masyarakat",,1
"Badan Pendapatan Daerah","KEPALA SUB BIDANG PERENCANAAN DAN PENGEMBANGAN PAJAK DAERAH",,1
"Dinas Perindustrian dan Perdagangan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Pendidikan","PENGADMINISTRASI KEPENDIDIKAN",,1
"Dinas Peternakan dan Perikanan","Paramedik Veteriner Penyelia",,1
"Kecamatan Srengat","Kepala Seksi Pemerintahan",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Kepala Bidang Bina Marga",,1
"Dinas Peternakan dan Perikanan","Analis Akuakultur Ahli Madya",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Kesehatan","Pranata Laboratorium Kesehatan Mahir",,1
"Kelurahan Bence","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kelurahan Nglegok","Kepala Seksi Pelayanan Publik",,1
"Kecamatan Selorejo","Kepala Seksi Pemberdayaan Masyarakat",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Kepala Bidang Persandian Dan Keamanan Informasi",,1
"RSUD Ngudi Waluyo Wlingi","ASISTEN APOTEKER PELAKSANA LANJUTAN",,1
"Kecamatan Kanigoro","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kecamatan Wonotirto",Camat,,1
"Kecamatan Ponggok",Camat,,1
"Kecamatan Bakung","Kepala Seksi Pemberdayaan Masyarakat",,1
"Dinas Perhubungan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Wonodadi","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Kecamatan Sanankulon",Sekretaris,,1
"Dinas Tenaga Kerja","Kepala Seksi Transmigrasi",,1
"Dinas Kependudukan dan Pencatatan Sipil",Sekretaris,,1
"Dinas Pendidikan","KEPALA SEKSI PEMBINAAN TENAGA PENDIDIK DAN KEPENDIDIKAN SMP",,1
"Kecamatan Ponggok","Kepala Seksi Pemberdayaan Masyarakat",,1
"Dinas Pendidikan","Perencana Ahli Muda",,1
"Dinas Perindustrian dan Perdagangan","Penyuluh Perindustrian dan Perdagangan Ahli Muda",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Bidang Perbendaharaan dan Kas Daerah",,1
"Dinas Lingkungan Hidup","PENGELOLA LAYANAN OPERASIONAL",,1
"Kecamatan Kesamben","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Kepala Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan",,1
"Kecamatan Selopuro",Camat,,1
"Sekretariat DPRD","Pranata Hubungan Masyarakat Ahli Muda",,1
"Kecamatan Wonodadi","Kepala Seksi Kesejahteraan Sosial",,1
"Kecamatan Kademangan",Sekretaris,,1
"Kelurahan Kedungbunder",Sekretaris,,1
"Kecamatan Kademangan","Kepala Seksi Pemerintahan",,1
"Kecamatan Sutojayan","Kepala Seksi Pemberdayaan Masyarakat",,1
"Dinas Kebudayaan Dan Pariwisata",Sekretaris,,1
"RSUD Ngudi Waluyo Wlingi","Sanitarian Penyelia",,1
"Kecamatan Doko","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Dinas Perhubungan","Kepala BIDANG KESELAMATAN",,1
"Badan Kesatuan Bangsa dan Politik","Kepala Bidang Ideologi, Wawasan Kebangsaan Dan Karakter Bangsa",,1
"Kecamatan Sanankulon","Kepala Seksi Pemerintahan",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Seksi Pengawalan Dan Pengamanan",,1
,"Bidan Pelaksana Lanjutan / Mahir",,1
"Kecamatan Nglegok","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Kecamatan Wonotirto","Kepala Seksi Pemerintahan",,1
"Kecamatan Binangun",Sekretaris,,1
"Dinas Perhubungan","Kepala SEKSI PENGUJIAN KENDARAAN BERMOTOR",,1
"Dinas Pemberdayaan Masyarakat dan Desa","Kepala Bidang Kelembagaan Masyarakat",,1
"Kelurahan Tawangsari","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Kademangan","Kepala Seksi Kesejahteraan Sosial",,1
"Kecamatan Kesamben",Camat,,1
"Badan Pendapatan Daerah","KEPALA SUB BIDANG PENAGIHAN PAJAK DAERAH",,1
"RSUD Ngudi Waluyo Wlingi","Fisioterapis Ahli Muda",,1
"Kelurahan Nglegok",Sekretaris,,1
,"Pranata Laboratorium Kesehatan Penyelia",,1
"Kecamatan Gandusari",Sekretaris,,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Kepala Bidang Cipta Karya",,1
"Kecamatan Sanankulon","Kepala Seksi Kesejahteraan Sosial",,1
"Kecamatan Talun","Kepala Seksi Kesejahteraan Sosial",,1
"Kecamatan Sanankulon","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kelurahan Sumberdiren",Sekretaris,,1
"Badan Pendapatan Daerah","KEPALA SUB BIDANG PEMBINAAN DAN PENGAWASAN PAJAK DAERAH DAN RETRIBUSI DAERAH",,1
"Kelurahan Kademangan","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Dinas Lingkungan Hidup","Kepala Bidang Tata Lingkungan",,1
"Kelurahan Jingglong","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kecamatan Sanankulon","Kepala Sub Bagian Umum dan Kepegawaian",,1
"RSUD Ngudi Waluyo Wlingi","Analis Sumber Daya Manusia Aparatur Ahli Muda",,1
"Kecamatan Srengat","Kepala Kelurahan Togogan",,1
"Dinas Perindustrian dan Perdagangan","Kepala Bidang Perdagangan",,1
"Kecamatan Talun",Sekretaris,,1
,"Sanitarian Penyelia",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Kepala Bidang Keluarga Berencana",,1
"Kelurahan Bence",Sekretaris,,1
"Kecamatan Wates","OPERATOR LAYANAN OPERASIONAL",,1
"Kecamatan Selorejo","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan",Sekretaris,,1
"Kecamatan Srengat","Kepala Seksi Pelayanan Publik",,1
"Kecamatan Kesamben","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Pendidikan","KEPALA BIDANG PENGEMBANGAN KURIKULUM",,1
,"Pranata Laboratorium Kesehatan Ahli Pertama",,1
"Kecamatan Panggungrejo",Camat,,1
"Badan Pendapatan Daerah","KEPALA BIDANG PELAYANAN DAN PENDATAAN PAJAK DAERAH",,1
"RSUD Ngudi Waluyo Wlingi","Penata Anestesi Ahli Muda",,1
"Kecamatan Garum",Sekretaris,,1
"SEKRETARIAT DAERAH","Kepala Bagian Umum",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Penata Kelola Penyehatan Lingkungan Ahli Muda",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Kepala Bidang Kesetaraan Gender, Pemberdayaan Dan Perlindungan Perempuan",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Sub Bidang Akuntansi Penerimaan dan Pengeluaran",,1
"Kecamatan Wlingi","Kepala Seksi Ketentraman dan Ketertiban",,1
"Dinas Kependudukan dan Pencatatan Sipil","Kepala Sub Bagian Keuangan",,1
"RSUD Srengat","Kepala Seksi Pelayanan Medik",,1
"Dinas Sosial",Sekretaris,,1
Inspektorat,"Auditor Ahli Madya",,1
"Pelaksana Badan Penanggulangan Bencana Daerah","Kepala Bidang Pencegahan dan Kesiapsiagaan",,1
"Badan Kesatuan Bangsa dan Politik","Kepala Bidang Politik Dalam Negeri",,1
"Kecamatan Garum","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Nglegok","Kepala Seksi Kesejahteraan Sosial",,1
"Badan Pendapatan Daerah","Pemeriksa Pajak Ahli Muda",,1
"Kecamatan Doko",Camat,,1
"RSUD Ngudi Waluyo Wlingi","Direktur RSUD Ngudi Waluyo Wlingi",,1
"Dinas Kebudayaan Dan Pariwisata","Kepala BIDANG PENGEMBANGAN SUMBER DAYA PARIWISATA DAN EKONOMI KREATIF",,1
"Dinas Kesehatan","Kepala Bidang Pelayanan Kesehatan",,1
"Dinas Kesehatan","Administrator Kesehatan Ahli Madya",,1
"Kelurahan Garum","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Sub Bagian Keuangan",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Sub Bagian Penyusunan Program",,1
"Dinas Kesehatan",Sekretaris,,1
"Kelurahan Kamulan",Sekretaris,,1
"RSUD Ngudi Waluyo Wlingi","Kepala Bagian Perencanaan Program dan Evaluasi",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","KEPALA BIDANG PENGEMBANGAN SUMBER DAYA MANUSIA",,1
"Dinas Perhubungan","Kepala Seksi Moda Transportasi",,1
"Kecamatan Sutojayan",Camat,,1
Inspektorat,"Inspektur Pembantu I",,1
"Kecamatan Wonodadi",Camat,,1
"Kecamatan Kanigoro",Sekretaris,,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Penata Kependudukan dan Keluarga Berencana Ahli Muda",,1
"Dinas Kependudukan dan Pencatatan Sipil","Kepala Bidang Pengelolaan Informasi Administrasi Kependudukan",,1
"SEKRETARIAT DAERAH","Staf Ahli Bidang Ekonomi, Keuangan dan Pembangunan",,1
"Dinas Kesehatan","Kepala Bidang Kesehatan Masyarakat",,1
"Kelurahan Kauman",Sekretaris,,1
"Kecamatan Doko","Kepala Sub Bagian Umum dan Kepegawaian",,1
Inspektorat,"Pengawas Pemerintahan Madya / Ahli Madya",,1
"Dinas Pendidikan","Pengawas Sekolah Madya - Tingkat Menengah",,1
,"Asisten Apoteker Terampil",,1
"Dinas Perindustrian dan Perdagangan","Kepala Bidang Perindustrian",,1
"Dinas Tenaga Kerja","Kepala Sub Bagian Keuangan",,1
"Kecamatan Nglegok",Camat,,1
"Kecamatan Kesamben","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Srengat",Camat,,1
"Badan Kesatuan Bangsa dan Politik","Kepala Bidang Kewaspadaan Nasional Dan Penanganan Konflik",,1
"Dinas Sosial","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Srengat","SEKRETARIS DESA",,1
"Dinas Kesehatan","Penyuluh Kesehatan Masyarakat Ahli Muda",,1
"Kecamatan Binangun",Camat,,1
"Kecamatan Doko",Sekretaris,,1
"Dinas Kepemudaan Dan Olah Raga","Kepala Bidang Kepemudaan",,1
"Bagian Umum","TEKNISI PEMELIHARAAN SARANA DAN PRASARANA",,1
"Dinas Sosial","Kepala Bidang Rehabilitasi Sosial",,1
"Kelurahan Tawangsari",Sekretaris,,1
"Dinas Kesehatan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"PEMERINTAH KABUPATEN BLITAR -","Sanitarian Penyelia",,1
"Kecamatan Selopuro",Sekretaris,,1
"RSUD Srengat","Kepala Seksi Pelayanan Penunjang Klinik",,1
"Dinas Kebudayaan Dan Pariwisata","Analis Keuangan Pusat dan Daerah Ahli Muda",,1
"Dinas Pendidikan","Analis Keuangan Pusat dan Daerah Ahli Muda",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Kepala Bidang Perumahan Rakyat",,1
"RSUD Srengat","Kepala Bagian Umum, Kepegawaian dan Keuangan",,1
"RSUD Ngudi Waluyo Wlingi","Bidan Ahli Muda",,1
"Dinas Perhubungan","Kepala Seksi Perparkiran",,1
"Dinas Pendidikan","Kepala Bidang Pengelolaan Pendidikan Anak Usia Dini Dan Pendidikan Non Formal",,1
"Sekretariat DPRD","Kepala Bagian Program dan Keuangan",,1
"Kelurahan Satriyan",Sekretaris,,1
"Sekretariat DPRD","Kepala Bagian Umum",,1
"Dinas Penanaman Modal dan Pelayanan Terpadu satu Pintu","Analis Kebijakan Ahli Madya",,1
,"Guru Pembina Tingkat. I",,1
"Dinas Lingkungan Hidup","AHLI PERTAMA - ADMINISTRATOR DATABASE KEPENDUDUKAN",,1
"Dinas Perhubungan","PENGOLAH DATA DAN INFORMASI",,1
"SEKRETARIAT DAERAH","PETUGAS SARANA DAN PRASARANA TRANSPORTASI DARAT",,1
"Kecamatan Sutojayan","PENELAAH TEKNIS KEBIJAKAN",,1
"RSUD Ngudi Waluyo Wlingi","Refraksionis Optisien Terampil",,1
"Kelurahan Wlingi","PENGOLAH DATA DAN INFORMASI",,1
"Kelurahan Kaweron","PENGOLAH DATA DAN INFORMASI",,1
"Kelurahan Satriyan","PENGOLAH DATA DAN INFORMASI",,1
"Kecamatan Srengat","PENELAAH TEKNIS KEBIJAKAN",,1
"Kecamatan Wonotirto","PENELAAH TEKNIS KEBIJAKAN",,1
"RSUD Srengat","Psikolog Klinis Ahli Pertama",,1
"Sekretariat DPRD","Perancang Peraturan Perundang-undangan Ahli Pertama",,1
"Dinas Perhubungan","PENGELOLA DATA JARINGAN TRANSPORTASI JALAN",,1
"Kecamatan Kanigoro","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Lingkungan Hidup","PENGOLAH DATA DAN INFORMASI",,1
"Kelurahan Kademangan","PENGOLAH DATA DAN INFORMASI",,1
"Kelurahan Garum","PENGOLAH DATA DAN INFORMASI",,1
"Kecamatan Doko","PENELAAH TEKNIS KEBIJAKAN",,1
"Kecamatan Srengat","PENGOLAH DATA DAN INFORMASI",,1
"Kelurahan Kalipang","PENGOLAH DATA DAN INFORMASI",,1
"Kecamatan Binangun","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Kesehatan","Pranata Sumber Daya Manusia Aparatur Terampil",,1
"Dinas Kesehatan","Pranata Komputer Terampil",,1
"Kelurahan Kembangarum","PENGOLAH DATA DAN INFORMASI",,1
"RSUD Srengat","Dokter Gigi Ahli Pertama",,1
"Dinas Kesehatan","AHLI PERTAMA - DOKTER",,1
"Dinas Perpustakaan Dan Kearsipan","Pustakawan Terampil",,1
"Dinas Perpustakaan Dan Kearsipan","PENGOLAH DATA DAN INFORMASI",,1
"RSUD Ngudi Waluyo Wlingi","Fisikawan Medis Ahli Pertama",,1
"Kecamatan Garum","PENELAAH TEKNIS KEBIJAKAN",,1
"Dinas Perhubungan","PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI",,1
"Kecamatan Wonodadi","PENGOLAH DATA DAN INFORMASI",,1
"Kelurahan Kanigoro","PENGOLAH DATA DAN INFORMASI",,1
"RSUD Ngudi Waluyo Wlingi","Dokter Gigi Ahli Pertama",,1
"Kelurahan Jingglong","PENGOLAH DATA DAN INFORMASI",,1
"Kecamatan Wates","PENELAAH TEKNIS KEBIJAKAN",,1
"Kecamatan Panggungrejo","PENELAAH TEKNIS KEBIJAKAN",,1
"Kelurahan Togogan","PENGOLAH DATA DAN INFORMASI",,1
"Kecamatan Nglegok","PENELAAH TEKNIS KEBIJAKAN",,1
"Sekretariat DPRD","Pranata Komputer Terampil",,1
"Dinas Kesehatan","PERAWAT UMUM POLUM",,1
"Satuan Polisi Pamong Praja dan Pemadam Kebakaran","Kepala Seksi Pencegahan Dan Investigasi",,1
"Dinas Ketahanan Pangan dan Pertanian","Kepala Bidang Sarana Tanaman Pangan dan Hortikultura",,1
"Kecamatan Binangun","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Garum","Kepala Seksi Kesejahteraan Sosial",,1
"Kecamatan Selopuro","Kepala Seksi Pemerintahan",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Kepala Bidang Kualitas Keluarga, Perlindungan Dan Pemenuhan Hak Anak",,1
"Badan Kesatuan Bangsa dan Politik","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Peternakan dan Perikanan","Pengawas Bibit Ternak Ahli Pertama",,1
"Kecamatan Binangun","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Dinas Perhubungan","Kepala Seksi Manajemen dan Rekayasa Lalu Lintas",,1
"Kecamatan Kesamben","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Bagian Protokol dan Komunikasi Pimpinan","Kepala Sub Bagian Protokol",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Seksi Pembinaan, Pengawasan Dan Penyuluhan",,1
"Dinas Pendidikan","Kepala Seksi Pengembangan Kurikulum Pendidikan Anak Usia Dini Dan Pendidikan Non Formal",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Perencana Ahli Muda",,1
