nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"Dinas Pekerjaan Umum dan Penataan Ruang","PENGAMAT OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR",,1
"Kecamatan Wlingi","Kepala Seksi Pelayanan Publik",,1
"Dinas Perpustakaan Dan Kearsipan","Pranata Komputer Ahli Pertama",,1
"Dinas Pemberdayaan Masyarakat dan Desa","PENGOLAH DATA DAN INFORMASI",,1
"Sekretariat DPRD","PENYUSUN BAHAN ANGGOTA DEWAN",,1
"Dinas Sosial","Pranata Komputer Mahir",,1
"Kelurahan Tangkil","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Kesehatan","PENGADMINISTRASI UMUM",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Sub Bidang Pengelolaan Kas Daerah",,1
"Dinas Pendidikan","Kepala SEKSI KELEMBAGAAN DAN SARANA PRASARANA PENDIDIKAN SEKOLAH DASAR",,1
"Badan Pendapatan Daerah","KEPALA BIDANG PERENCANAAN, PENGEMBANGAN, DAN SISTEM PAJAK DAERAH",,1
"Badan Kesatuan Bangsa dan Politik","Perencana Ahli Muda",,1
"RSUD Ngudi Waluyo Wlingi","Perawat Gigi Terampil",,1
"Dinas Kependudukan dan Pencatatan Sipil","Perencana Ahli Muda",,1
"Dinas Kesehatan","Kepala Sub Bagian Keuangan",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","KEPALA SUB BIDANG PERENCANAAN ANGGARAN",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Kepala Sub Bagian Keuangan",,1
"Kecamatan Sutojayan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Gandusari","PENELAAH TEKNIS KEBIJAKAN",,1
"Kecamatan Kesamben","Kepala Seksi Pemerintahan",,1
"Dinas Peternakan dan Perikanan","PENGAWAS PENYAKIT DAN PENGENDALI PENYAKIT HEWAN",,1
"Dinas Peternakan dan Perikanan","Paramedik Veteriner Mahir",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Pranata Komputer Terampil",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","Perencana Ahli Muda",,1
"KELURAHAN BERU","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","PENATA KELOLA LEGER JALAN",,1
"Sekretariat DPRD","Perencana Ahli Muda",,1
"Sekretariat DPRD","Perisalah Legislatif Ahli Muda",,1
"Dinas Pemberdayaan Masyarakat dan Desa","Kepala Bidang Pembangunan Desa",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Sub Bidang Pelayanan Perbendaharaan",,1
"Kecamatan Binangun","PENELAAH TEKNIS KEBIJAKAN",,1
"Dinas Pendidikan","GURU SD DII PGSD/MI",,1
"Dinas Kebudayaan Dan Pariwisata","Perencana Ahli Muda",,1
"Dinas Kebudayaan Dan Pariwisata","Pamong Budaya Ahli Muda",,1
"RSUD Ngudi Waluyo Wlingi","Fisioterapis Terampil",,1
"Dinas Kepemudaan Dan Olah Raga","Penggerak Swadaya Masyarakat Ahli Muda",,1
"RSUD Ngudi Waluyo Wlingi","Dokter Gigi Ahli Muda",,1
"Kelurahan Jegu","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Dinas Perindustrian dan Perdagangan","Penera Terampil",,1
Inspektorat,"Pengawas Pemerintahan Muda / Ahli Muda",,1
"Kecamatan Kanigoro","PENELAAH TEKNIS KEBIJAKAN",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Penata Kelola Perumahan Ahli Pertama",,1
"Kecamatan Kanigoro","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Sutojayan","Kepala Seksi Kesejahteraan Sosial",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Dinas Tenaga Kerja","PENGOLAH DATA DAN INFORMASI",,1
"Kecamatan Nglegok","Kepala Seksi Ketentraman dan Ketertiban",,1
"Dinas Tenaga Kerja","Instruktur Ahli Muda",,1
"Kecamatan Ponggok","Kepala Seksi Kesejahteraan Sosial",,1
"Bagian Protokol dan Komunikasi Pimpinan","OPERATOR LAYANAN OPERASIONAL",,1
"Dinas Perindustrian dan Perdagangan","Arsiparis Terampil",,1
"Dinas Kesehatan","Nutrisionis Mahir",,1
"Kelurahan Nglegok","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Kepala Sub Bagian Keuangan",,1
"Dinas Pemberdayaan Masyarakat dan Desa","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","TEKNISI SARANA DAN PRASARANA",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Penata Ruang Ahli Pertama",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Sandiman Ahli Pertama",,1
"KELURAHAN BERU","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Dinas Pendidikan","KEPALA BIDANG PENGELOLAAN PENDIDIKAN SEKOLAH DASAR",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Penata Ruang Ahli Muda",,1
"Dinas Peternakan dan Perikanan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Peternakan dan Perikanan","Pengawas Mutu Pakan Ahli Pertama",,1
"Dinas Peternakan dan Perikanan","Pengendali Hama dan Penyakit Ikan Ahli Muda",,1
"Dinas Lingkungan Hidup","Kepala Sub Bagian Keuangan",,1
"Kecamatan Panggungrejo","Kepala Seksi Kesejahteraan Sosial",,1
"Dinas Perhubungan","Kepala Seksi Perencanaan Pembangunan Perlengkapan Jalan",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Pranata Komputer Ahli Pertama",,1
"RSUD Ngudi Waluyo Wlingi","Teknisi Transfusi Darah Pemula",,1
"Kecamatan Talun","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Kepala Bidang Perencanaan, Pengendalian Dan Evaluasi",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Sub Bidang Pemanfaatan dan Pengamanan Aset Daerah",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","PENGADMINISTRASI PERKANTORAN",,1
"Pelaksana Badan Penanggulangan Bencana Daerah","PENGOLAH DATA DAN INFORMASI",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Sub Bidang Analisa Kebutuhan dan Inventarisasi Aset Daerah",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Bidang Pengelolaan Aset Daerah",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","KEPALA SUB BIDANG PENGANGGARAN DAN EVALUASI ANGGARAN",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Kepala Bidang Aplikasi Dan Informatika",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Bidang Akuntansi",,1
"Badan Pendapatan Daerah","ANALIS BIMBINGAN PENDATAAN, PENILAIAN, DAN PENGENAAN",,1
"Kecamatan Kanigoro","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Bagian Pengadaan Barang dan Jasa","Kepala Sub Bagian Pengelolaan Pengadaan Barang dan Jasa",,1
"Dinas Perpustakaan Dan Kearsipan","Arsiparis Terampil",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Penata Kelola Perumahan Ahli Muda",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Analis Pengembangan Kompetensi ASN Ahli Pertama",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Penata Kelola Bangunan Gedung dan Kawasan Permukiman Ahli Muda",,1
"Dinas Pemberdayaan Masyarakat dan Desa","FASILITATOR PEMERINTAHAN",,1
"Dinas Kebudayaan Dan Pariwisata","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Kesehatan","PENGELOLA RUJUKAN KESEHATAN",,1
"RSUD Ngudi Waluyo Wlingi","Sanitarian Terampil",,1
"Kecamatan Wates","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kelurahan Kalipang","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kelurahan Talun","PENGOLAH DATA DAN INFORMASI",,1
"Kecamatan Bakung","PENELAAH TEKNIS KEBIJAKAN",,1
"RSUD Srengat","Nutrisionis Ahli Muda",,1
,"Terapis Gigi dan Mulut Terampil",,1
"Dinas Kesehatan","STAFF PELAKSANA",,1
"RSUD Srengat","PENELAAH TEKNIS KEBIJAKAN",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Bidang Ketentraman dan Ketertiban Umum",,1
,"Nutrisionis Penyelia",,1
"Kelurahan Kembangarum","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
,"Kepala Subbag. Penyusunan Program",,1
"RSUD Ngudi Waluyo Wlingi","Wakil Direktur Pelayanan Medik dan Keperawatan",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Penata Kelola Penyehatan Lingkungan Ahli Pertama",,1
"Kecamatan Wonodadi","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Pemberdayaan Masyarakat dan Desa","Perencana Ahli Pertama",,1
"Dinas Kesehatan","Tenaga Sanitasi Lingkungan Penyelia",,1
"Kecamatan Nglegok",Lurah,,1
"RSUD Srengat","Kepala Sub Bagian Umum",,1
"Kecamatan Gandusari","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Talun","Kepala Seksi Pemerintahan",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Kepala Bidang Penelitian dan Pengembangan",,1
"Badan Kesatuan Bangsa dan Politik",Sekretaris,,1
"Kelurahan Satriyan","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Kepala UPT Perlindungan Perempuan dan Anak ( PPA )",,1
"Kelurahan Kanigoro","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Kepala Sub Bagian Keuangan",,1
"Kecamatan Binangun","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Srengat",Sekretaris,,1
"RSUD Ngudi Waluyo Wlingi","Kepala Bidang Pendidikan dan Penelitian",,1
"RSUD Ngudi Waluyo Wlingi","Kepala Bidang Pelayanan Medik",,1
"Kelurahan Sumberdiren","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","KEPALA BIDANG PENGAWASAN KOPERASI",,1
"Dinas Perhubungan","Kepala Bidang Angkutan",,1
"Dinas Perhubungan","Kepala Sub Bagian Keuangan",,1
"Dinas Perhubungan","Kepala Sub Bagian Penyusunan Program",,1
,"Kepala UPT Griya Sehat",,1
"Kecamatan Srengat","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Wlingi",Sekretaris,,1
"Kecamatan Wlingi","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Dinas Pendidikan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"RSUD Srengat","Kepala Bidang Pelayanan Penunjang Klinik dan Non Klinik",,1
"Kecamatan Udanawu","Kepala Seksi Kesejahteraan Sosial",,1
"RSUD Srengat","Kepala Seksi Hubungan Masyarakat, Hukum dan Pemasaran",,1
"Kelurahan Kalipang",Sekretaris,,1
"Dinas Kebudayaan Dan Pariwisata","Kepala Bidang Pengembangan Destinasi dan Usaha Pariwisata",,1
"Kecamatan Wonotirto",Sekretaris,,1
"SEKRETARIAT DAERAH","Staf Ahli Bidang Kemasyarakatan dan SDM",,1
"Kecamatan Kademangan","SEKRETARIS DESA",,1
"Kelurahan Klemunan","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
,"Perawat Ahli Madya",,1
"Kecamatan Srengat","Kepala Seksi Kesejahteraan Sosial",,1
"Dinas Sosial","Kepala Bidang Penanganan Bencana",,1
"Dinas Pendidikan","GURU SMP",,1
"Kecamatan Gandusari","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"RSUD Ngudi Waluyo Wlingi","Perencana Ahli Muda",,1
"Dinas Pendidikan","Kepala SEKSI PEMBINAAN TENAGA PENDIDIK DAN KEPENDIDIKAN SEKOLAH DASAR",,1
"Kecamatan Kademangan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Kesehatan",STAFF,,1
"Dinas Kesehatan","Perawat Gigi Penyelia",,1
"Kelurahan Sukorejo","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kelurahan Sumberdiren","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kecamatan Wlingi","TEKNIS / ADMINISTRASI LAINNYA",,1
"Dinas Kebudayaan Dan Pariwisata","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Bakung","Kepala Seksi Pemerintahan",,1
"Badan Pendapatan Daerah","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Nglegok","Kepala Seksi Pemerintahan",,1
"Badan Pendapatan Daerah","KEPALA SUB BIDANG PENETAPAN PAJAK DAERAH",,1
"Dinas Kependudukan dan Pencatatan Sipil","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Selopuro","Kepala Seksi Kesejahteraan Sosial",,1
"PEMERINTAH KABUPATEN BLITAR -","Perawat Muda / Ahli Muda",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Kepala Sub Bagian Keuangan",,1
"Kecamatan Kademangan","Kepala Seksi Pelayanan Publik",,1
"Kecamatan Doko","Kepala Seksi Pemerintahan",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Badan Pengelolaan Keuangan dan Aset Daerah",Sekretaris,,1
"Badan Pendapatan Daerah","KEPALA SUB BIDANG PENGENDALIAN DAN KEBERATAN",,1
"Kecamatan Kademangan","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Dinas Pendidikan","GURU SDN",,1
"Dinas Pemberdayaan Masyarakat dan Desa","STAF KEUANGAAN",,1
"Badan Pendapatan Daerah","Pranata Komputer Ahli Pertama",,1
"Kelurahan Kauman","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kelurahan Klemunan","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"KELURAHAN BABADAN",Sekretaris,,1
"RSUD Srengat","Asisten Apoteker Mahir",,1
Inspektorat,Sekretaris,,1
"Dinas Kesehatan","Perawat Gigi Mahir",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Kepala Bidang Perencanaan dan Pengembangan",,1
"Kecamatan Gandusari","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Udanawu","Kepala Sub Bagian Umum dan Kepegawaian",,1
,"FUNGSIONAL UMUM",,1
"Kelurahan Garum","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"RSUD Ngudi Waluyo Wlingi","Nutrisionis Pelaksana Lanjutan / Mahir",,1
"Dinas Pendidikan","Perawat Pelaksana Lanjutan / Mahir",,1
"Kecamatan Ponggok","SEKRETARIS DESA",,1
"Dinas Pendidikan",STAF,,1
"Kecamatan Bakung","PENGADMINISTRASI UMUM PENGETIK",,1
,"SEKRETARIS DESA",,1
"Dinas Kesehatan","Kepala Bidang Pencegahan dan Pengendalian Penyakit",,1
"Kecamatan Doko","Kepala Seksi Kesejahteraan Sosial",,1
"Dinas Kesehatan",Guru,,1
"Kelurahan Tangkil","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Srengat","Kepala Sub Bagian Umum dan Kepegawaian",,1
,Guru,,1
"Dinas Pendidikan","GURU TAMAN KANAK-KANAK",,1
"KELURAHAN BABADAN","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kecamatan Wonodadi","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kelurahan Jingglong","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"PEMERINTAH KABUPATEN BLITAR -","Pranata Laboratorium Kesehatan Penyelia",,1
"RSUD Ngudi Waluyo Wlingi","Analis Kebijakan Ahli Muda",,1
"RSUD Ngudi Waluyo Wlingi","RADIOGRAFER TERAMPIL",,1
"Dinas Kesehatan","PERAWAT GIGI TERAMPIL",,1
"Dinas Kesehatan","PEREKAM MEDIS TERAMPIL",,1
"Dinas Pendidikan","STAFF PELAKSANA",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Kepala Bidang Kesejahteraan, Pembinaan Dan Penilaian Kinerja ASN",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Bidang Perlindungan Masyarakat",,1
"Kelurahan Dandong",Sekretaris,,1
"Dinas Pekerjaan Umum dan Penataan Ruang","PETUGAS OPERASI DAN PEMELIHARAAN",,1
"RSUD Srengat","Tenaga Sanitasi Lingkungan Ahli Pertama",,1
"RSUD Srengat","Fisikawan Medis Ahli Pertama",,1
"RSUD Srengat","Bidan Terampil",,1
"Kecamatan Selorejo","PENGADMINISTRASI PERKANTORAN",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","OPERATOR LAYANAN OPERASIONAL",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","PENGELOLA LAYANAN OPERASIONAL",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Analis Hukum Ahli Pertama",,1
"RSUD Ngudi Waluyo Wlingi","PELAKSANA/TERAMPIL - PERAWAT",,1
"Dinas Kependudukan dan Pencatatan Sipil","OPERATOR LAYANAN OPERASIONAL",,1
"Dinas Kesehatan","Nutrisionis Ahli Pertama",,1
"Dinas Kesehatan","Epidemiolog Kesehatan Ahli Pertama",,1
"RSUD Srengat","Pranata Komputer Ahli Pertama",,1
"RSUD Srengat","Fisioterapis Ahli Pertama",,1
"Kecamatan Wonodadi","PENGADMINISTRASI PERKANTORAN",,1
"Kecamatan Binangun","PENGELOLA UMUM OPERASIONAL",,1
"Sekretariat DPRD","Arsiparis Terampil",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","PENGELOLA LAYANAN OPERASIONAL",,1
"Dinas Peternakan dan Perikanan","Pengelola Kesehatan Ikan Ahli Pertama",,1
"Kecamatan Bakung","OPERATOR LAYANAN OPERASIONAL",,1
"Kelurahan Sumberdiren","PENGADMINISTRASI PERKANTORAN",,1
,"Pranata Laboratorium Kesehatan Terampil",,1
"RSUD Srengat","Radiografer Ahli Pertama",,1
"Pelaksana Badan Penanggulangan Bencana Daerah","PENGADMINISTRASI PERKANTORAN",,1
"Kelurahan Satriyan","PENGADMINISTRASI PERKANTORAN",,1
"Kelurahan Sutojayan","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Ketahanan Pangan dan Pertanian","OPERATOR LAYANAN OPERASIONAL",,1
"Kecamatan Gandusari","OPERATOR LAYANAN OPERASIONAL",,1
"Kelurahan Srengat","PENGADMINISTRASI PERKANTORAN",,1
"Kelurahan Kaweron","PENGELOLA UMUM OPERASIONAL",,1
"Kelurahan Kauman","PENGADMINISTRASI PERKANTORAN",,1
"Badan Kesatuan Bangsa dan Politik","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Pemberdayaan Masyarakat dan Desa","PENGADMINISTRASI PERKANTORAN",,1
"Kelurahan Bajang","PENGADMINISTRASI PERKANTORAN",,1
"Kelurahan Kembangarum","PENGADMINISTRASI PERKANTORAN",,1
"RSUD Srengat","Teknisi Transfusi Darah Terampil",,1
"Kelurahan Kamulan","PENGADMINISTRASI PERKANTORAN",,1
"Kecamatan Wonotirto","PENGELOLA UMUM OPERASIONAL",,1
"Dinas Sosial","PENATA LAYANAN OPERASIONAL",,1
"Kelurahan Satriyan","OPERATOR LAYANAN OPERASIONAL",,1
"Dinas Ketahanan Pangan dan Pertanian","PENGELOLA LAYANAN OPERASIONAL",,1
"SEKRETARIAT DAERAH","Analis Kebijakan Ahli Pertama",,1
"Kecamatan Talun","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Perpustakaan Dan Kearsipan","PENGELOLA UMUM OPERASIONAL",,1
,"PENATA LAYANAN OPERASIONAL",,1
"Badan Pendapatan Daerah","PENGELOLA LAYANAN OPERASIONAL",,1
"Kelurahan Kembangarum","PENGELOLA UMUM OPERASIONAL",,1
"Sekretariat DPRD","PENGELOLA UMUM OPERASIONAL",,1
"Kecamatan Kesamben","OPERATOR LAYANAN OPERASIONAL",,1
"Dinas Kependudukan dan Pencatatan Sipil","PENGELOLA UMUM OPERASIONAL",,1
"Dinas Penanaman Modal dan Pelayanan Terpadu satu Pintu","Perencana Ahli Pertama",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","PENATA LAYANAN OPERASIONAL",,1
"Kecamatan Talun","PENGELOLA UMUM OPERASIONAL",,1
"Kelurahan Bence","PENGADMINISTRASI PERKANTORAN",,1
"Kecamatan Ponggok","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Kependudukan dan Pencatatan Sipil","PENGELOLA LAYANAN OPERASIONAL",,1
"Dinas Ketahanan Pangan dan Pertanian","PENGADMINISTRASI PERKANTORAN",,1
"Kecamatan Bakung","PENGADMINISTRASI PERKANTORAN",,1
"KELURAHAN BABADAN","OPERATOR LAYANAN OPERASIONAL",,1
"Kelurahan Talun","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Peternakan dan Perikanan","Perencana Ahli Pertama",,1
"Kecamatan Kanigoro","OPERATOR LAYANAN OPERASIONAL",,1
"Dinas Perpustakaan Dan Kearsipan","Perencana Ahli Pertama",,1
"Kelurahan Sutojayan","PENGELOLA UMUM OPERASIONAL",,1
"Kelurahan Dandong","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Perpustakaan Dan Kearsipan","Arsiparis Ahli Pertama",,1
"Kelurahan Kedungbunder","PENGADMINISTRASI PERKANTORAN",,1
"Kelurahan Kanigoro","PENGADMINISTRASI PERKANTORAN",,1
"Kelurahan Kanigoro","OPERATOR LAYANAN OPERASIONAL",,1
"Dinas Tenaga Kerja","Perencana Ahli Pertama",,1
"Kelurahan Tawangsari","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Kebudayaan Dan Pariwisata","Arsiparis Terampil",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Pranata Hubungan Masyarakat Ahli Pertama",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","PENATA LAYANAN OPERASIONAL",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","PENATA LAYANAN OPERASIONAL",,1
,"PENGADMINISTRASI PERKANTORAN",,1
"Badan Kesatuan Bangsa dan Politik","OPERATOR LAYANAN OPERASIONAL",,1
,"Analis Kebijakan Ahli Pertama",,1
"Kelurahan Kedungbunder","PENGELOLA UMUM OPERASIONAL",,1
"RSUD Srengat","Analis Hukum Ahli Pertama",,1
"Kelurahan Garum","PENGADMINISTRASI PERKANTORAN",,1
"Dinas Kesehatan","NUTRISIONIS TERAMPIL",,1
,"AHLI PERTAMA - MEDIK VETERINER",,1
"RSUD Srengat","PEREKAM MEDIS TERAMPIL",,1
,"AHLI PERTAMA - PRANATA HUBUNGAN MASYARAKAT",,1
"RSUD Srengat","PERAWAT TERAMPIL",,1
"RSUD Srengat","PELAKSANA/TERAMPIL - PEREKAM MEDIS",,1
,"AHLI PERTAMA - DOKTER SPESIALIS BEDAH",,1
,"REFRAKSIONIS OPTISIEN TERAMPIL",,1
,"PELAKSANA/TERAMPIL - PERAWAT",,1
"Dinas Kesehatan","PELAKSANA/TERAMPIL - ASISTEN APOTEKER",,1
"Dinas Kesehatan","PELAKSANA/TERAMPIL - BIDAN",,1
